# tren-crc even-bit detection sweep (raw experiment output)

Trials per cell: 10000
Seed: 0xCAFEF00D

| layout | k | error_class | n | detected | total | rate | wilson_low | wilson_high |
| RowXorPlusCrc | 12 | even | 6 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | even | 8 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | even | 16 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | even | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | odd | 1 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | odd | 3 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | odd | 5 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | odd | 7 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 12 | burst | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | even | 2 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | even | 4 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | even | 6 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | even | 8 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | even | 16 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | even | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | odd | 1 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | odd | 3 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | odd | 5 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | odd | 7 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| RowXorPlusCrc | 16 | burst | 32 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| ColXorPlusCrc | 1 | even | 2 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
| ColXorPlusCrc | 1 | even | 4 | 10000 | 10000 | 1.000000 | 0.999616 | 1.000000 |
